organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
South Gloucestershire,Mobile,Thursday 1,Almondsbury,The Bowl Inn,"The Bowl Inn, Almondsbury",,-2.572722464295514,51.55469149656738,Thursday,9:40,10:00,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Easter Compton,Fox Pub,"Fox Pub, Easter Compton",,-2.6186119081746795,51.53933473651239,Thursday,10:15,10:30,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Hallen,Hi Ways caravan park,"Hi Ways caravan park, Hallen",,-2.652311284618758,51.51532453366387,Thursday,10:45,11:05,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Severn Beach,Abbot Road,"Abbot Road, Severn Beach",,-2.6598849129391082,51.55572612049904,Thursday,11:20,11:40,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Severn Beach,Salthouse Farm,"Salthouse Farm, Severn Beach",,-2.6639110380227082,51.566744971548395,Thursday,11:50,12:10,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Pilning,Cross Hands,"Cross Hands, Pilning",,-2.639307651578685,51.562304962283804,Thursday,12:20,12:40,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
South Gloucestershire,Mobile,Thursday 1,Banwell,Car Park,"Car Park, Banwell",,-2.8667859412474757,51.32891344113032,Thursday,14:40,16:30,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.southglos.gov.uk/libraries/mobile-library-almondsbury-severn-beach-pilning/
