A,Brompton Regis,Lower Holworthy,TA22 9NY,9.40 – 9.55
A,Brompton Regis,Wimbleball Lake,TA22 9NU,10.05 – 10.20
A,Brompton Regis,George Inn,TA22 9NL,10.30 – 10.50
A,Brompton Regis,Combeshead,TA22 9LE,11.00 – 11.15
A,Bridgetown (Exe Valley),Week Lane,TA22 9JN,11.25 – 11.45
A,Withypool,Hawthorn Bungalow,TA24 7QY,12.05 – 12.25
A,Winsford,Winsford Centre,TA24 7JQ,12.40 – 1.10
A,Watchet,Watchet Children's Centre,TA23 0EX,2.25 – 3.00

B,Templecombe,School Lane (Plygrp),BA8 0HP,10.15 – 10.30
B,Charlton Horethorne,North Road,DT9 4NS,10.45 – 11.05
B,South Barrow,South Barrow Church,BA22 7LN,11.20 – 11.40
B,Rimpton,Road to Rimpton House,BA22 8AQ,12.00 – 12.30
B,Mudford,Hales Meadow,BA21 5TA,1.15 – 1.30
B,West Camel,"Fore Street, Middle Farmhouse",BA22 7QW,1.45 – 2.05
B,Ilchester,Ilchester Car park,BA22 8LX,2.25 – 2.55
B,Ilchester,Ilchester School,BA22 8JP,3.00 – 3.25

C,Butleigh,"Barton Road, Fairmile",BA6 8TH,9.45 – 10.00
C,Butleigh,Butleigh School,BA6 8SX,10.05 – 10.35
C,Baltonsborough,Baltonsborough Village Hall (Plygrp),BA6 8PN,10.40 – 11.00
C,Baltonsborough,Baltonsborough School,BA6 8PN,11.00 – 11.20
C,Southwood,Middle Farm,BA6 8PG,11.25 – 11.40
C,Barton St David,Main Street (Telephone box),TA11 6BX,11.50 – 12.05
C,Keinton Mandeville,Queen Street Layby,TA11 6EH,12.45 – 1.00
C,Babcary,Baker Street (Bus shelter),TA11 7DU,1.10 – 1.25

D,Timberscombe ,Timberscombe School & Playgroup,TA24 7TY,10.00 – 10.30
D,Cutcombe,Cutcombe School,TA24 7DZ,10.45 – 11.15
D,Cutcombe,Higher Park Lane,TA24 7AG,11.25 – 11.45
D,Exford,Exford School,TA24 7PP,12.00 – 12.30
D,Exford,Exford Centre,TA24 7PU,12.35 – 12.55

E,Merriott,Merriott School,TA16 5PT,9.30 – 10.00
E,West Chinnock,West Chinnock School,TA18 7PT,10.10 – 10.40
E,East Chinnock,Weston Street (Plygrp),BA22 9EQ,10.50 – 11.20
E,Odcombe,Westbury Gardens,BA22 8UR,11.35 – 11.55
E,Hardington Mandeville,Hill End,BA22 9PY,12.10 – 12.25
E,East Coker,Helyar Arms,BA22 9JR,12.40 – 12.55
E,Milton,Telephone Box (Plygrp),TA12 6AL,2.00 – 2.15
E,Chiselborough,Chiselborough Village Hall,TA14 6TR,2.35 – 3.15
E,Norton Sub Hamdon,Higher Street (Pippins),TA14 6SN,3.25 – 3.45

F,Stapley,Pear Tree Cottage,TA3 7QB,9.10 – 9.30
F,Churchinford,Churchinford Village Hall & Plygrp,TA3 7RG,9.40 – 10.10
F,Tatworth,Tatworth Memorial Hall,TA20 2QA,10.45 – 11.15
F,Winsham,Winsham School & Bell Inn,TA20 4HU,11.25 – 11.55
F,Winsham,Davies Close,TA20 4JL,12.00 – 12.20
F,Chillington,Higher Chillington,TA19 0PT,1.10 - 1.30

G,Cannington,Brook Street,TA5 2HP,9.35 - 9.55
G,Combwich,Otterhampton School,TA5 2QS,10.05 – 10.50
G,Combwich,Harbour,TA5 2QU,10.55 – 11.15
G,Combwich,Combwich Post Office,TA5 2QW,11.20 – 11.40
G,Stockland,Bristol Captains,TA5 2PY,11.50 – 12.05 
G,Shurton,Shurton Inn,TA5 1QE,12.20 – 12.50
G,Stogursey,Greyhound Inn,TA5 1QR,1.30 – 2.00
G,Stogursey,Town Close (No 30),TA5 1RN,2.05 – 2.25
G,Kilve,Hill Top,TA5 1SR,2.45 – 3.05

H,Brent Knoll,Brent Knoll Post Office,TA9 4DT,9.20 – 10.05
H,Lympsham,War Memorial,BS24 0DS,10.15 – 10.35
H,East Brent,East Drive (off Strowlands),TA9 4JQ,10.55 – 11.25
H,Biddisham,Yew Tree Nursery,BS26 2SA,11.35 – 11.50
H,Shipham,Turnpike Road (Pre School),BS25 1TX,12.35 – 1.05
H,Badgworth,Old School,BS26 2QP,1.20 – 1.35
H,Chapel Allerton,Front Street (Bus shelter),BS26 2PB,1.45 – 2.00
H,Wedmore,Central Car Park,BS28 4AN,2.10 – 2.50
H,Wedmore,Little Owls (Childcare),BS28 4SA,2.55 – 3.10
H,Bagley,Honeycombe House,BS28 4TD,3.30- 3.55

I,Greenham,Greenham Bridge,TA21 0JN,10.00 – 10.20
I,Raddington,Blackwell Farm,TA4 2QN,10.45 – 11.00
I,Lydeard St Lawrence,Old Post Office,TA4 3SB,11.30 – 11.45
I,Cotford St Luke,Graham Way,TA4 1GQ,1.55 – 2.25
I,Hillfarance,Hillfarance Church,TA4 1AW,2.35 – 2.50

J,Benter,Fire Engine,BA3 5BJ,10.00 – 10.15
J,Stratton-on-the-Fosse,Red House Farm,BA3 4QE 10.30 – 10.55
J,Coleford,Bishop Henderson School,BA3 5PN,11.05 – 11.35
J,Coleford,British Legion Car park,BA3 5PB,11.40 – 12.00
J,Holcombe,Scotts Close,BA3 5DT,12.40 – 12.55
J,Stoke St Michael,Moonshill Road,BA3 5LG,1.05 – 1.30
J,Leigh upon Mendip,Memorial Hall,BA3 5QQ,1.40 – 2.05
J,Chantry,Bullen Mead,BA11 3LG,2.15 – 2.30

K,Shepton Mallet (Showground),Next Steps Childcare Centre,BA4 6QL,10.05 – 10.25
K,North Wootton,North Wootton Church,BA4 4HA,10.40 – 11.10
K,Doulting,Doulting School,BA4 4PL,11.30 – 12.00 
K,Evercreech,Gartons Mead,BA4 6JH,12.50 – 1.20
K,East Lydford,Wadehithe,TA11 7HD,1.40 – 1.55
K,West Lydford,Old School,TA11 7DB,2.05 – 2.20
K,Parbrook,Pound Close,BA6 8PA,2.35 – 2.50

L,Crowcombe,Crowcombe School,TA4 4AA,10.20 – 10.50
L,Stogumber,Stogumber School,TA4 3TQ,11.05 – 11.35
L,Monksilver,Notley Arms,TA4 4JB,11.45 – 12.15
L,Roadwater,Roadwater Village Hall,TA23 0RE,12.30 – 1.00
L,Alcombe,Cheeky Cherubs Nursery,TA24 5EB,1.50 – 2.10
L,Minehead,Butlins Billy's All Stars Nursery,TA24 5SH,2.20 – 2.45
L,Blue Anchor,Blue Anchor Garage,TA24 6JZ,3.00 – 3.20

M,Hemington,Hemington School,BA3 5XU,10.15 – 10.45
M,Norton St Philip,Tellisford Lane Estate,BA2 7LL,11.00 – 11.20
M,Rode,High Street (Pre school),BA11 6PB,11.30 – 12.00
M,Penselwood,Old Orchard layby,BA9 8NE,1.15 – 1.30

N,Pawlett,Gaunts Road/Grange Way,TA6 4SF,9.30 – 9.45
N,Puriton,Puriton Village Hall,TA7 8BP,9.55 – 10.10
N,Catcott,Wellfield House,TA7 9HT,10.25 – 10.45
N,Ashcott,Ashcott School,TA7 9PP,11-11.30
N,Ashcott,Middle Street,TA7 9QB,11.35 – 11.55
N,Shapwick Cricket Club,TA7 9LN,12.10 – 12.35
N,Westham,Westham Farm,BS28 4UR,1.55 – 2.10
N,Burtle,Catcott Burtle,TA7 8NB,2.25 – 2.45
N,Edington,Holywell Road,TA7 9LD,2.55 – 3.15
N,Chilton Polden,Church Lane,TA7 9DY,3.20 – 3.40

O,Monkton,Heathfield Village Hall,TA2 8QZ,09.10 – 09.40
O,Kingston St Mary,Leach's Field,TA2 8JL,10.00 – 10.30
O,Spaxton,Spaxton School,TA5 1BS,10.50 – 11.20
O,Goathurst,Entrance to Halswell House,TA5 2DE,11.35 – 11.55
O,Durston,Durston Village Hall,TA3 5AG,12.20 – 12.40
O,Durston,"Outwood Rd, Station Post Box",TA3 5AJ,12.40 – 1.05
