Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
North,Tuesday Week 3,Bishops Cannings,The Street,"The Street, Bishops Cannings",2020-11-24,Tuesday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Thursday Week 3,Bishopstone,The Styles,"The Styles, Bishopstone",2020-11-26,Thursday,4,11:15,11:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Friday Week 1,Boscombe/Allington,Telephone Box,"Telephone Box, Boscombe/Allington",2020-12-11,Friday,4,10:45,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Boscombe/Allington,Telephone Box,"Telephone Box, Boscombe/Allington",2020-11-27,Friday,4,10:45,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Thursday Week 3,Bower Chalke,The Village Hall,"The Village Hall, Bower Chalke",2020-11-26,Thursday,4,14:00,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
Residential homes,Tuesday Week 3,Box,Brunel House,"Brunel House, Box",2020-11-24,Tuesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/103
Residential homes,Tuesday Week 3,Box,Bybrook House,"Bybrook House, Box",2020-11-24,Tuesday,4,13:05,13:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/103
Residential homes,Friday Week 1,Bradford on Avon,Aldhelm Court,"Aldhelm Court, Bradford on Avon",2020-12-11,Friday,4,11:25,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Friday Week 1,Bradford on Avon,Cedar Court,"Cedar Court, Bradford on Avon",2020-12-11,Friday,4,10:55,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Friday Week 1,Bradford on Avon,Wiltshire Heights,"Wiltshire Heights, Bradford on Avon",2020-12-11,Friday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
North,Thursday Week 3,Bratton,The Duke Pub,"The Duke Pub, Bratton",2020-11-26,Thursday,4,14:45,15:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
Residential homes,Tuesday Week 1,Braydon,White Lodge,"White Lodge, Braydon",2020-12-08,Tuesday,4,12:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
North,Friday Week 3,Brinkworth,Little Foxes,"Little Foxes, Brinkworth",2020-11-27,Friday,4,10:40,11:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Friday Week 3,Brinkworth,Village Hall,"Village Hall, Brinkworth",2020-11-27,Friday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
South,Thursday Week 3,Britford,Shelter Barn,"Shelter Barn, Britford",2020-11-26,Thursday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Thursday Week 3,Broad Chalke,Church Car Park,"Church Car Park, Broad Chalke",2020-11-26,Thursday,4,11:50,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Tuesday Week 3,Broad Hinton,Village Hall,"Village Hall, Broad Hinton",2020-11-24,Tuesday,4,15:15,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
Residential homes,Monday Week 3,Bromham,Angell House,"Angell House, Bromham",2020-11-23,Monday,4,09:45,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
North,Saturday Week 2,Bromham,Highfield Road,"Highfield Road, Bromham",2020-11-21,Saturday,4,14:50,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Saturday Week 2,Bromham,The Greyhound,"The Greyhound, Bromham",2020-11-21,Saturday,4,14:10,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Tuesday Week 2,Broughton Gifford,The Rusty Stag Pub,"The Rusty Stag Pub, Broughton Gifford",2020-11-17,Tuesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
North,Monday Week 1,Bulkington,The Well,"The Well, Bulkington",2020-12-07,Monday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Wednesday Week 2,Burbage,Village Hall,"Village Hall, Burbage",2020-11-18,Wednesday,4,10:10,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
North,Friday Week 2,Cadley,Green near garage,"Green near garage, Cadley",2020-11-20,Friday,4,14:05,14:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
Residential homes,Thursday Week 4,Calne,James House,"James House, Calne",2020-12-03,Thursday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
Residential homes,Thursday Week 4,Calne,Marden Court,"Marden Court, Calne",2020-12-03,Thursday,4,10:10,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
Residential homes,Thursday Week 4,Calne,The Wharf,"The Wharf, Calne",2020-12-03,Thursday,4,09:45,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/112
North,Wednesday Week 1,Castle Combe,By Market Cross,"By Market Cross, Castle Combe",2020-12-09,Wednesday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Castle Combe,By Market Cross,"By Market Cross, Castle Combe",2020-11-25,Wednesday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
North,Wednesday Week 2,Chapmanslade,School,"School, Chapmanslade",2020-11-18,Wednesday,4,13:45,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Chapmanslade,School,"School, Chapmanslade",2020-12-02,Wednesday,4,13:45,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Monday Week 3,Cherhill,Church,"Church, Cherhill",2020-11-23,Monday,4,12:15,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
