Monday,09:30,12.30,Drayton Lane / Havant Road,Drayton,50.846681,-1.048136,2019-10-21
Monday,13:30,16:30,Victory School and Ludlow Road,Paulsgrove,50.850509,-1.092229,2019-10-21
Tuesday,13:30,16:30,Fort Cumberland Road,Eastney,50.788006,-1.043788,2019-10-22
Wednesday,09:30,12:30,London Road (opposite Amberley Road),Hilsea,50.826083,-1.072409,2019-10-23
Wednesday,13:30,16:30,Mayfield Road / Copnor Road,Copnor,50.820521,-1.065023,2019-10-23
Thursday,09:30,12:30,Sainsbury's,Farlington,50.840013,-1.040003,2019-10-24
Thursday,13:30,16:30,Morrison's,Anchorage Park,50.826095,-1.046733,2019-10-24
Friday,09:30,12:30,Mayfield Road / Copnor Road,Copnor,50.820521,-1.065023,2019-10-25
Friday,13:30,16:30,Canoe Lake,Southsea,50.781337,-1.072780,2019-10-25
